Number of Threads;1;;2;;3;;4;
Used Library;Parallel;Thread;Parallel;Thread;Parallel;Thread;Parallel;Thread
Size 100x100;15,0205;11,7436;6,2706;6,9663;4,9391;5,8983;3,7765;5,5314
;12,0222;12,1255;7,5432;7,7583;4,9003;8,1589;5,3436;7,2112
;11,7292;13,3379;7,4024;7,6418;5,0044;5,8492;3,7715;8,1809
;12,5186;12,7185;6,4477;9,0136;4,6348;8,4937;4,4897;7,9328
;13,7216;12,9511;7,3803;7,9219;4,6082;7,0034;3,4782;5,5178
Œrednia;13,00242;12,57532;7,00884;7,86038;4,81736;7,0807;4,1719;6,87482
;;;;;;;;
Number of Threads;1;;2;;3;;4;
Used Library;Parallel;Thread;Parallel;Thread;Parallel;Thread;Parallel;Thread
Size 200x200;82,9198;102,3933;53,3111;51,6992;42,3795;39,7853;38,6435;36,1974
;103,7339;97,9704;53,6956;57,1371;37,1093;45,4689;27,3245;39,5171
;76,7575;99,5162;49,7559;54,6334;36,5098;44,5729;27,7016;29,5966
;107,3377;112,107;53,2887;54,9614;38,3237;40,4069;29,6734;30,1317
;82,2756;86,6138;49,4761;56,9379;36,0182;37,056;27,7776;30,7079
Œrednia;90,6049;99,72014;51,90548;55,0738;38,0681;41,458;30,22412;33,23014
;;;;;;;;
Number of Threads;1;;2;;3;;4;
Used Library;Parallel;Thread;Parallel;Thread;Parallel;Thread;Parallel;Thread
Size 500x500;1695,8855;1912,2658;1077,076;1149,7423;648,3797;777,1179;512,4976;650,1623
;1706,4363;1716,6717;1029,9153;1091,9092;648,8085;774,1695;615,2272;833,0594
;1596,5651;1787,7345;874,7427;1045,0331;673,6089;705,9235;491,5116;568,2574
;1724,4464;1760,7742;646,3507;754,9114;635,5997;578,1579;547,0656;612,5813
;1264,9663;1574,3309;883,1984;802,5707;656,379;699,5873;543,4661;710,1249
Œrednia;1597,65992;1750,35542;902,25662;968,83334;652,55516;706,99122;541,95362;674,83706
;;;;;;;;
Number of Threads;1;;2;;3;;4;
Used Library;Parallel;Thread;Parallel;Thread;Parallel;Thread;Parallel;Thread
Size 1000x1000;11045,8191;13433,6819;6652,9343;6545,5203;5614,1011;5590,8336;5738,9708;5863,9263
;10111,3449;10179,9082;6842,6974;6652,6623;5538,0372;5568,8528;5995,4541;6007,0445
;10905,8067;10464,9385;6777,2254;6531,8578;5727,4182;6058,5269;5816,7015;6021,9284
;10465,4866;10768,121;6343,0063;6277,7767;5676,8492;6109,657;5856,9448;5999,8143
;10194,6573;10258,8947;6515,6858;6564,5013;5734,7341;5513,8984;5793,356;5893,6846
Œrednia;10544,62292;11021,10886;6626,30984;6514,46368;5658,22796;5768,35374;5840,28544;5957,27962
